355.59,11.3871
365.76,11.3871
375.94,11.3871
386.11,11.3871
396.29,11.3871
406.46,11.3871
416.64,11.3871
426.82,11.3871
436.99,11.3871
447.17,11.3871
457.34,11.3871
467.52,11.3871
477.69,11.3871
487.87,11.3784
498.04,11.3538
508.22,11.3133
518.39,11.258
528.57,11.1907
538.74,11.1119
548.92,11.0245
559.09,10.9321
569.27,10.8368
579.45,10.7407
589.62,10.6482
599.8,10.5607
609.97,10.4823
620.15,10.4147
630.32,10.3595
640.5,10.3188
650.67,10.2942
660.85,10.2856
671.02,10.298
681.2,10.3349
691.37,10.3909
701.55,10.4592
711.72,10.5322
721.9,10.6004
732.07,10.6562
742.25,10.6933
752.43,10.7058
762.6,10.7276
772.78,10.7907
782.95,10.8833
793.13,10.9938
803.3,11.1044
813.48,11.198
823.65,11.26
833.83,11.2824
844,11.2822
851.92,11.0457
854.18,11.2816
862.01,11.0457
864.35,11.2809
872.1,11.0457
874.53,11.2797
882.19,11.0457
884.7,11.2782
892.28,11.0457
894.88,11.2771
902.36,11.0457
905.05,11.2765
912.45,11.0457
915.23,11.2756
922.54,11.0457
925.41,11.2754
932.64,11.0457
935.58,11.2754
942.73,11.0457
945.76,11.2754
952.82,11.0457
955.93,11.2754
962.91,11.0457
966.11,11.2754
972.99,11.0457
976.28,11.2754
983.08,11.0457
986.46,11.2754
993.17,11.0457
996.63,11.2754
1003.3,11.0457
1006.81,11.2754
1013.3,11.0457
1016.98,11.2754
1023.4,11.0451
1027.16,11.2754
1033.49,11.0423
1037.33,11.2754
1043.59,11.0372
1047.51,11.2754
1053.69,11.0302
1057.68,11.2754
1063.79,11.0218
1073.89,11.0122
1083.99,11.0013
1094.09,10.9871
1104.19,10.9732
1114.19,10.9572
1124.28,10.9418
1134.38,10.9248
1144.48,10.9065
1154.58,10.8884
1164.68,10.8696
1174.77,10.8513
1184.87,10.8335
1194.97,10.8154
1205.07,10.7979
1215.17,10.7822
1225.17,10.7663
1235.27,10.752
1245.36,10.7385
1255.46,10.727
1265.56,10.7174
1275.66,10.7091
1285.76,10.7022
1295.86,10.697
1305.96,10.6946
1316.05,10.6937
1326.05,10.6949
1336.15,10.6996
1346.25,10.7058
1356.35,10.7163
1366.45,10.7283
1376.55,10.7437
1386.65,10.7612
1396.74,10.7807
1406.84,10.8034
1416.94,10.8267
1426.94,10.8534
1437.04,10.8818
1447.14,10.911
1457.23,10.9422
1467.33,10.9743
1477.43,11.0074
1487.53,11.0414
1497.63,11.0759
1507.73,11.1108
1517.83,11.1461
1527.92,11.1811
1537.92,11.2156
1548.02,11.2496
1558.12,11.2826
1568.22,11.3146
1578.32,11.346
1588.42,11.3753
1598.51,11.4037
1608.61,11.4302
1618.71,11.4538
1628.81,11.476
1638.81,11.4958
1648.9,11.5133
1659,11.5286
1669.1,11.5404
1679.2,11.5505
1689.3,11.558
1699.4,11.5621
1709.5,11.5634
1719.6,11.5617
1729.7,11.5563
1739.7,11.5477
1749.79,11.5346
1759.89,11.5193
1769.99,11.5002
1780.09,11.4789
1790.19,11.4548
1800.29,11.4279
1810.38,11.3994
1820.48,11.3688
1830.58,11.3366
1840.58,11.3036
1850.68,11.2696
1860.78,11.2363
1870.87,11.2007
1880.98,11.1666
1891.07,11.1333
1901.17,11.1018
1911.27,11.0714
1921.37,11.0424
1931.47,11.0155
1941.57,10.9912
1951.57,10.9698
1961.66,10.9508
1971.76,10.9355
1981.86,10.923
1991.96,10.9139
2002.06,10.9083
2012.15,10.9069
2022.25,10.9057
2032.35,10.9013
2042.45,10.8951
2052.45,10.8854
2062.55,10.874
2072.65,10.8591
2082.75,10.8429
2092.84,10.8242
2102.94,10.8039
2113.04,10.782
2123.14,10.7592
2133.24,10.7342
2143.34,10.7092
2153.34,10.6834
2163.43,10.6572
2173.53,10.6312
2183.63,10.6052
2193.73,10.5803
2203.83,10.556
2213.93,10.5328
2224.03,10.5101
2234.12,10.4904
2244.22,10.4722
2254.22,10.4552
2264.32,10.4408
2274.42,10.4285
2284.52,10.4197
2294.61,10.4129
2304.71,10.4088
2314.81,10.4077
2324.91,10.4077
2335.01,10.4077
2345.11,10.4077
2355.21,10.4077
2365.2,10.4077
2375.3,10.4077
2385.4,10.4077
2395.5,10.4077
2405.6,10.4077
2415.7,10.4077
2425.8,10.4077
2435.89,10.4077
2445.99,10.4077
2456.09,10.4077
2466.09,10.4077
2476.19,10.4077
2486.29,10.4077
2496.39,10.4077
2506.48,10.4077
2516.59,10.4077
2526.68,10.4077
2536.78,10.4077
2546.88,10.4077
2556.98,10.4077
2566.98,10.4077
2577.08,10.4077
